"cv_0","pa","lon","lat","bio10","bio12","bio13","bio18","bio19","bio3","bio4"
2,1,-41.9,-13.116667,20.0982913970947,1071,185,443,55,72.3224105834961,118.328086853027
6,1,-41.571111,-13.024167,20.7571659088135,937,146,364,87,73.0570449829102,124.107376098633
1,1,-41.77280045,-13.15190029,20.6873340606689,977,157,383,80,72.4145889282227,120.790565490723
3,1,-41.15610123,-11.55000019,21.4682922363281,799,103,267,149,71.8228530883789,159.08415222168
5,1,-41.469583,-10.360194,22.0283756256104,596,102,221,22,74.802375793457,128.195785522461
4,1,-42.645244,-13.165456,25.3575401306152,802,153,226,13,72.4254913330078,110.261756896973
2,0,-41.9166666663333,-10.0833333333333,25.7507495880127,647,128,224,4,75.8052444458008,104.359161376953
5,0,-40.7499999996667,-11.4166666666667,22.9237499237061,734,101,258,131,71.1363220214844,163.294616699219
4,0,-41.2499999996667,-10.5833333333333,22.7354583740234,536,93,239,25,73.6499938964844,141.789993286133
1,0,-41.583333333,-11.9166666666667,22.6957492828369,666,104,242,58,72.3510055541992,140.060775756836
5,0,-42.083333333,-9.91666666666667,26.953540802002,667,138,214,4,76.5244064331055,97.8013076782227
2,0,-40.583333333,-10.9166666666667,23.0587921142578,763,105,271,126,72.3160400390625,160.666854858398
6,0,-41.7499999996667,-12.4166666666667,22.1842918395996,713,117,271,45,72.6082305908203,126.459991455078
3,0,-40.9166666663333,-11.25,23.3015003204346,556,100,225,40,72.8555603027344,159.783096313477
4,0,-42.4166666663333,-10.5833333333333,26.3731250762939,634,118,117,4,75.9824142456055,102.799621582031
3,0,-40.7499999996667,-9.91666666666667,24.8375835418701,467,91,225,10,75.1586303710938,145.586730957031
1,0,-42.4166666663333,-10.75,26.3850002288818,621,114,122,5,75.5239410400391,107.122688293457
4,0,-40.7499999996667,-10.25,25.0801658630371,390,71,183,9,74.9430313110352,152.934707641602
6,0,-40.9166666663333,-12.25,22.7843341827393,742,95,255,128,73.3977355957031,155.673400878906
1,0,-41.083333333,-11.4166666666667,21.7938747406006,693,98,244,103,71.8337020874023,159.80876159668
6,0,-40.583333333,-12.25,23.8856258392334,758,101,270,134,71.3779373168945,160.199188232422
6,0,-41.4166666663333,-14.25,24.1863327026367,579,115,228,19,70.8521499633789,143.875732421875
2,0,-41.9166666663333,-10.75,26.1473751068115,551,101,213,4,75.0502853393555,123.532783508301
3,0,-42.2499999996667,-13.4166666666667,24.1310005187988,819,158,234,5,71.4833297729492,119.152786254883
6,0,-43.083333333,-13.9166666666667,25.5551242828369,785,149,209,11,71.0069580078125,124.028297424316
1,0,-42.4166666663333,-12.25,24.3744583129883,663,127,178,8,72.4810028076172,109.326316833496
3,0,-41.583333333,-13.4166666666667,22.6233329772949,736,132,317,42,72.4219589233398,124.190315246582
5,0,-42.2499999996667,-12.5833333333333,22.660083770752,710,131,197,4,72.5403289794922,110.523384094238
4,0,-41.583333333,-9.91666666666667,26.2203750610352,585,117,200,5,77.0720138549805,110.05793762207
2,0,-42.083333333,-12.4166666666667,21.4554176330566,657,125,184,12,72.304573059082,116.583236694336
3,0,-41.2499999996667,-11.9166666666667,21.2625007629395,879,103,283,182,72.4800109863281,154.301910400391
5,0,-41.4166666663333,-11.25,23.3478336334229,539,98,252,9,73.4047775268555,145.558242797852
5,0,-40.2499999996667,-11.5833333333333,24.8628330230713,764,98,273,138,72.2135391235352,163.884002685547
4,0,-40.2499999996667,-11.4166666666667,25.1140823364258,744,106,279,119,71.870719909668,163.733139038086
1,0,-41.9166666663333,-11.4166666666667,24.0518341064453,636,117,265,7,73.6985931396484,125.055778503418
2,0,-40.4166666663333,-13.25,21.7572078704834,684,112,253,76,69.3362503051758,147.481002807617
